Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,Sales ('000),COGS,Profit,Profit ('000),Date,Month,Quarter,Year,Customer_Name,Product_Name,Country
Government,CUST_ID_072,PROD_ID_002,Medium,"  2,409.00 ",  10.00 ,  7.00 ,"  16,863.00 ",1349.04,"  15,513.96 ",  15.51 ,"  12,045.00 ","  3,468.96 ",  3.47 ,11/14/2022,Nov,Q4,2021,Emily Hill,Paseo,Japan
Government,CUST_ID_072,PROD_ID_002,Medium,"  2,146.00 ",  10.00 ,  350.00 ,"  751,100.00 ",60088,"  691,012.00 ",  691.01 ,"  557,960.00 ","  133,052.00 ",  133.05 ,10/21/2021,Oct,Q4,2021,Emily Hill,Paseo,Japan
Government,CUST_ID_040,PROD_ID_002,Medium,"  1,946.00 ",  10.00 ,  7.00 ,"  13,622.00 ",1089.76,"  12,532.24 ",  12.53 ,"  9,730.00 ","  2,802.24 ",  2.80 ,2/16/2021,Feb,Q1,2021,Abigail Lewis,Paseo,Japan
Small Business,CUST_ID_061,PROD_ID_003,Medium,  386.00 ,  120.00 ,  300.00 ,"  115,800.00 ",9264,"  106,536.00 ",  106.54 ,"  96,500.00 ","  10,036.00 ",  10.04 ,11/12/2022,Nov,Q4,2021,Benjamin Martin,Velo,Germany
Small Business,CUST_ID_075,PROD_ID_004,Medium,  808.00 ,  250.00 ,  300.00 ,"  242,400.00 ",19392,"  223,008.00 ",  223.01 ,"  202,000.00 ","  21,008.00 ",  21.01 ,6/30/2022,Jun,Q2,2021,Logan Martin,VTT,England
Channel Partners,CUST_ID_076,PROD_ID_006,Medium,"  1,375.00 ",  260.00 ,  12.00 ,"  16,500.00 ",1320,"  15,180.00 ",  15.18 ,"  4,125.00 ","  11,055.00 ",  11.06 ,10/7/2022,Oct,Q4,2021,Charlotte Garcia,Amarilla,France
Channel Partners,CUST_ID_077,PROD_ID_005,Medium,  367.00 ,  3.00 ,  12.00 ,"  4,404.00 ",396.36,"  4,007.64 ",  4.01 ,"  1,101.00 ","  2,906.64 ",  2.91 ,2/17/2022,Feb,Q1,2021,Samuel Phillips,Carretera,Germany
Small Business,CUST_ID_078,PROD_ID_001,Medium,  322.00 ,  5.00 ,  300.00 ,"  96,600.00 ",8694,"  87,906.00 ",  87.91 ,"  80,500.00 ","  7,406.00 ",  7.41 ,6/14/2021,Jun,Q2,2021,Harper Hill,Montana,Italy
Enterprise,CUST_ID_079,PROD_ID_001,Medium,"  1,857.00 ",  5.00 ,  125.00 ,"  232,125.00 ",20891.25,"  211,233.75 ",  211.23 ,"  222,840.00 ","  -11,606.25 ",  -11.61 ,4/29/2022,Apr,Q2,2021,Henry Turner,Montana,India
Government,CUST_ID_043,PROD_ID_001,Medium,"  1,611.00 ",  5.00 ,  7.00 ,"  11,277.00 ",1014.93,"  10,262.07 ",  10.26 ,"  8,055.00 ","  2,207.07 ",  2.21 ,11/30/2022,Nov,Q4,2021,Sebastian Phillips,Montana,England
Small Business,CUST_ID_080,PROD_ID_001,Medium,  334.00 ,  5.00 ,  300.00 ,"  100,200.00 ",9018,"  91,182.00 ",  91.18 ,"  83,500.00 ","  7,682.00 ",  7.68 ,3/19/2022,Mar,Q1,2021,Amelia Martin,Montana,Japan
Channel Partners,CUST_ID_071,PROD_ID_002,Medium,  367.00 ,  10.00 ,  12.00 ,"  4,404.00 ",396.36,"  4,007.64 ",  4.01 ,"  1,101.00 ","  2,906.64 ",  2.91 ,6/25/2022,Jun,Q2,2021,Aiden Perez,Paseo,India
Channel Partners,CUST_ID_014,PROD_ID_002,Medium,"  1,775.00 ",  10.00 ,  12.00 ,"  21,300.00 ",1917,"  19,383.00 ",  19.38 ,"  5,325.00 ","  14,058.00 ",  14.06 ,3/9/2022,Mar,Q1,2021,Charlotte White,Paseo,Italy
Channel Partners,CUST_ID_081,PROD_ID_004,Medium,"  2,234.00 ",  250.00 ,  12.00 ,"  26,808.00 ",2412.72,"  24,395.28 ",  24.40 ,"  6,702.00 ","  17,693.28 ",  17.69 ,7/11/2021,Jul,Q3,2021,Jackson Lewis,VTT,USA
Midmarket,CUST_ID_082,PROD_ID_006,Medium,  970.00 ,  260.00 ,  15.00 ,"  14,550.00 ",1309.5,"  13,240.50 ",  13.24 ,"  9,700.00 ","  3,540.50 ",  3.54 ,8/16/2022,Aug,Q3,2021,Abigail Clark,Amarilla,Canada
Government,CUST_ID_008,PROD_ID_004,Medium,"  2,682.00 ",  250.00 ,  20.00 ,"  53,640.00 ",4827.6,"  48,812.40 ",  48.81 ,"  26,820.00 ","  21,992.40 ",  21.99 ,1/20/2022,Jan,Q1,2021,Isabella Wilson,VTT,Japan
Channel Partners,CUST_ID_083,PROD_ID_006,Medium,  306.00 ,  260.00 ,  12.00 ,"  3,672.00 ",330.48,"  3,341.52 ",  3.34 ,  918.00 ,"  2,423.52 ",  2.42 ,11/12/2021,Nov,Q4,2021,Aiden Anderson,Amarilla,England
Channel Partners,CUST_ID_084,PROD_ID_005,High,  386.00 ,  3.00 ,  12.00 ,"  4,632.00 ",463.2,"  4,168.80 ",  4.17 ,"  1,158.00 ","  3,010.80 ",  3.01 ,8/21/2022,Aug,Q3,2021,Emily Martin,Carretera,France
Channel Partners,CUST_ID_005,PROD_ID_002,High,  386.00 ,  10.00 ,  12.00 ,"  4,632.00 ",463.2,"  4,168.80 ",  4.17 ,"  1,158.00 ","  3,010.80 ",  3.01 ,1/13/2022,Jan,Q1,2021,Liam Jones,Paseo,Germany
Enterprise,CUST_ID_085,PROD_ID_005,High,"  1,482.00 ",  3.00 ,  125.00 ,"  185,250.00 ",18525,"  166,725.00 ",  166.73 ,"  177,840.00 ","  -11,115.00 ",  -11.12 ,4/28/2022,Apr,Q2,2021,Benjamin Garcia,Carretera,Germany
Enterprise,CUST_ID_013,PROD_ID_001,High,"  1,804.00 ",  5.00 ,  125.00 ,"  225,500.00 ",22550,"  202,950.00 ",  202.95 ,"  216,480.00 ","  -13,530.00 ",  -13.53 ,4/21/2022,Apr,Q2,2021,Logan Jackson,Montana,Germany
Midmarket,CUST_ID_002,PROD_ID_002,High,"  2,167.00 ",  10.00 ,  15.00 ,"  32,505.00 ",3250.5,"  29,254.50 ",  29.25 ,"  21,670.00 ","  7,584.50 ",  7.58 ,9/25/2021,Sep,Q3,2021,Emma Johnson,Paseo,Canada
Small Business,CUST_ID_086,PROD_ID_003,High,"  2,294.00 ",  120.00 ,  300.00 ,"  688,200.00 ",68820,"  619,380.00 ",  619.38 ,"  573,500.00 ","  45,880.00 ",  45.88 ,4/11/2022,Apr,Q2,2021,Mia Hill,Velo,Italy
Enterprise,CUST_ID_007,PROD_ID_003,High,"  1,916.00 ",  120.00 ,  125.00 ,"  239,500.00 ",23950,"  215,550.00 ",  215.55 ,"  229,920.00 ","  -14,370.00 ",  -14.37 ,2/8/2021,Feb,Q1,2021,Ethan Miller,Velo,India
Small Business,CUST_ID_075,PROD_ID_004,High,"  2,294.00 ",  250.00 ,  300.00 ,"  688,200.00 ",68820,"  619,380.00 ",  619.38 ,"  573,500.00 ","  45,880.00 ",  45.88 ,6/18/2022,Jun,Q2,2021,Logan Martin,VTT,England
Midmarket,CUST_ID_087,PROD_ID_004,High,"  2,167.00 ",  250.00 ,  15.00 ,"  32,505.00 ",3250.5,"  29,254.50 ",  29.25 ,"  21,670.00 ","  7,584.50 ",  7.58 ,8/11/2022,Aug,Q3,2021,Logan Phillips,VTT,India
Government,CUST_ID_056,PROD_ID_004,High,"  1,870.00 ",  250.00 ,  350.00 ,"  654,500.00 ",65450,"  589,050.00 ",  589.05 ,"  486,200.00 ","  102,850.00 ",  102.85 ,7/23/2022,Jul,Q3,2021,Amelia Perez,VTT,Japan
Channel Partners,CUST_ID_088,PROD_ID_005,High,"  1,198.00 ",  3.00 ,  12.00 ,"  14,376.00 ",1581.36,"  12,794.64 ",  12.79 ,"  3,594.00 ","  9,200.64 ",  9.20 ,4/21/2022,Apr,Q2,2021,Charlotte Hill,Carretera,Japan
Channel Partners,CUST_ID_025,PROD_ID_002,High,"  1,198.00 ",  10.00 ,  12.00 ,"  14,376.00 ",1581.36,"  12,794.64 ",  12.79 ,"  3,594.00 ","  9,200.64 ",  9.20 ,4/26/2022,Apr,Q2,2021,Alexander Perez,Paseo,USA
Channel Partners,CUST_ID_089,PROD_ID_004,High,"  1,005.00 ",  250.00 ,  12.00 ,"  12,060.00 ",1326.6,"  10,733.40 ",  10.73 ,"  3,015.00 ","  7,718.40 ",  7.72 ,6/22/2021,Jun,Q2,2021,Samuel Turner,VTT,USA
Midmarket,CUST_ID_090,PROD_ID_005,High,"  1,560.00 ",  3.00 ,  15.00 ,"  23,400.00 ",2574,"  20,826.00 ",  20.83 ,"  15,600.00 ","  5,226.00 ",  5.23 ,1/23/2021,Jan,Q1,2021,Harper Martin,Carretera,Canada
Government,CUST_ID_066,PROD_ID_005,High,"  2,706.00 ",  3.00 ,  7.00 ,"  18,942.00 ",2083.62,"  16,858.38 ",  16.86 ,"  13,530.00 ","  3,328.38 ",  3.33 ,3/25/2022,Mar,Q1,2021,Harper Turner,Carretera,Canada
Government,CUST_ID_037,PROD_ID_001,High,"  2,992.00 ",  5.00 ,  20.00 ,"  59,840.00 ",6582.4,"  53,257.60 ",  53.26 ,"  29,920.00 ","  23,337.60 ",  23.34 ,12/30/2022,Dec,Q4,2021,Henry Martinez,Montana,Germany
Government,CUST_ID_072,PROD_ID_002,High,"  2,992.00 ",  10.00 ,  20.00 ,"  59,840.00 ",6582.4,"  53,257.60 ",  53.26 ,"  29,920.00 ","  23,337.60 ",  23.34 ,4/15/2022,Apr,Q2,2021,Emily Hill,Paseo,Japan
Government,CUST_ID_054,PROD_ID_003,High,"  2,805.00 ",  120.00 ,  20.00 ,"  56,100.00 ",6171,"  49,929.00 ",  49.93 ,"  28,050.00 ","  21,879.00 ",  21.88 ,10/9/2021,Oct,Q4,2021,Harper Wilson,Velo,Italy
Midmarket,CUST_ID_091,PROD_ID_003,High,  655.00 ,  120.00 ,  15.00 ,"  9,825.00 ",1080.75,"  8,744.25 ",  8.74 ,"  6,550.00 ","  2,194.25 ",  2.19 ,10/31/2021,Oct,Q4,2021,Henry Garcia,Velo,England
Government,CUST_ID_031,PROD_ID_003,High,  344.00 ,  120.00 ,  350.00 ,"  120,400.00 ",13244,"  107,156.00 ",  107.16 ,"  89,440.00 ","  17,716.00 ",  17.72 ,4/3/2022,Apr,Q2,2021,Benjamin Lee,Velo,India
Government,CUST_ID_055,PROD_ID_004,High,"  2,935.00 ",  250.00 ,  20.00 ,"  58,700.00 ",6457,"  52,243.00 ",  52.24 ,"  29,350.00 ","  22,893.00 ",  22.89 ,3/9/2022,Mar,Q1,2021,Henry Turner,VTT,India
Enterprise,CUST_ID_092,PROD_ID_006,High,  947.00 ,  260.00 ,  125.00 ,"  118,375.00 ",13021.25,"  105,353.75 ",  105.35 ,"  113,640.00 ","  -8,286.25 ",  -8.29 ,10/24/2021,Oct,Q4,2021,Amelia Phillips,Amarilla,France
Government,CUST_ID_093,PROD_ID_006,High,  344.00 ,  260.00 ,  350.00 ,"  120,400.00 ",13244,"  107,156.00 ",  107.16 ,"  89,440.00 ","  17,716.00 ",  17.72 ,10/3/2022,Oct,Q4,2021,Jackson Hill,Amarilla,Germany
Government,CUST_ID_027,PROD_ID_002,High,  380.00 ,  10.00 ,  7.00 ,"  2,660.00 ",292.6,"  2,367.40 ",  2.37 ,"  1,900.00 ",  467.40 ,  0.47 ,4/30/2022,Apr,Q2,2021,Michael Hill,Paseo,England
Enterprise,CUST_ID_094,PROD_ID_005,High,"  2,416.00 ",  3.00 ,  125.00 ,"  302,000.00 ",36240,"  265,760.00 ",  265.76 ,"  289,920.00 ","  -24,160.00 ",  -24.16 ,11/11/2021,Nov,Q4,2021,Abigail Martin,Carretera,Italy
Government,CUST_ID_049,PROD_ID_001,High,"  1,715.00 ",  5.00 ,  20.00 ,"  34,300.00 ",4116,"  30,184.00 ",  30.18 ,"  17,150.00 ","  13,034.00 ",  13.03 ,12/12/2022,Dec,Q4,2021,Elijah Perez,Montana,USA
Small Business,CUST_ID_078,PROD_ID_001,High,"  1,186.00 ",  5.00 ,  300.00 ,"  355,800.00 ",42696,"  313,104.00 ",  313.10 ,"  296,500.00 ","  16,604.00 ",  16.60 ,7/17/2022,Jul,Q3,2021,Harper Hill,Montana,Italy
Government,CUST_ID_040,PROD_ID_002,High,"  1,715.00 ",  10.00 ,  20.00 ,"  34,300.00 ",4116,"  30,184.00 ",  30.18 ,"  17,150.00 ","  13,034.00 ",  13.03 ,10/19/2022,Oct,Q4,2021,Abigail Lewis,Paseo,Japan
Midmarket,CUST_ID_044,PROD_ID_002,High,  380.00 ,  10.00 ,  15.00 ,"  5,700.00 ",684,"  5,016.00 ",  5.02 ,"  3,800.00 ","  1,216.00 ",  1.22 ,5/17/2022,May,Q2,2021,Elizabeth Martin,Paseo,France
Government,CUST_ID_055,PROD_ID_004,High,  623.00 ,  250.00 ,  350.00 ,"  218,050.00 ",26166,"  191,884.00 ",  191.88 ,"  161,980.00 ","  29,904.00 ",  29.90 ,2/28/2021,Feb,Q1,2021,Henry Turner,VTT,India
Midmarket,CUST_ID_046,PROD_ID_006,High,"  2,548.00 ",  260.00 ,  15.00 ,"  38,220.00 ",4586.4,"  33,633.60 ",  33.63 ,"  25,480.00 ","  8,153.60 ",  8.15 ,12/16/2021,Dec,Q4,2021,Avery Anderson,Amarilla,Italy
Channel Partners,CUST_ID_095,PROD_ID_006,High,"  2,761.00 ",  260.00 ,  12.00 ,"  33,132.00 ",3975.84,"  29,156.16 ",  29.16 ,"  8,283.00 ","  20,873.16 ",  20.87 ,1/7/2021,Jan,Q1,2021,Aiden Garcia,Amarilla,India
Government,CUST_ID_048,PROD_ID_005,High,  442.00 ,  3.00 ,  20.00 ,"  8,840.00 ",1149.2,"  7,690.80 ",  7.69 ,"  4,420.00 ","  3,270.80 ",  3.27 ,3/22/2021,Mar,Q1,2021,Sofia Turner,Carretera,Japan
Midmarket,CUST_ID_096,PROD_ID_003,High,  660.00 ,  120.00 ,  15.00 ,"  9,900.00 ",1287,"  8,613.00 ",  8.61 ,"  6,600.00 ","  2,013.00 ",  2.01 ,7/4/2022,Jul,Q3,2021,Emily Phillips,Velo,Japan
Small Business,CUST_ID_097,PROD_ID_003,High,"  2,605.00 ",  120.00 ,  300.00 ,"  781,500.00 ",101595,"  679,905.00 ",  679.91 ,"  651,250.00 ","  28,655.00 ",  28.66 ,8/21/2022,Aug,Q3,2021,Benjamin Hill,Velo,USA
Channel Partners,CUST_ID_098,PROD_ID_006,High,"  1,770.00 ",  260.00 ,  12.00 ,"  21,240.00 ",2761.2,"  18,478.80 ",  18.48 ,"  5,310.00 ","  13,168.80 ",  13.17 ,1/21/2021,Jan,Q1,2021,Mia Turner,Amarilla,Canada
Government,CUST_ID_057,PROD_ID_005,High,"  2,996.00 ",  3.00 ,  7.00 ,"  20,972.00 ",2936.08,"  18,035.92 ",  18.04 ,"  14,980.00 ","  3,055.92 ",  3.06 ,6/4/2021,Jun,Q2,2021,Jackson Hill,Carretera,USA
Government,CUST_ID_099,PROD_ID_001,High,"  2,996.00 ",  5.00 ,  7.00 ,"  20,972.00 ",2936.08,"  18,035.92 ",  18.04 ,"  14,980.00 ","  3,055.92 ",  3.06 ,3/6/2022,Mar,Q1,2021,Logan Martin,Montana,England
Channel Partners,CUST_ID_018,PROD_ID_006,High,"  2,015.00 ",  260.00 ,  12.00 ,"  24,180.00 ",3385.2,"  20,794.80 ",  20.79 ,"  6,045.00 ","  14,749.80 ",  14.75 ,8/7/2022,Aug,Q3,2021,Amelia Garcia,Amarilla,Canada
Enterprise,CUST_ID_085,PROD_ID_005,High,"  1,023.00 ",  3.00 ,  125.00 ,"  127,875.00 ",17902.5,"  109,972.50 ",  109.97 ,"  122,760.00 ","  -12,787.50 ",  -12.79 ,3/28/2021,Mar,Q1,2021,Benjamin Garcia,Carretera,Germany
Enterprise,CUST_ID_100,PROD_ID_005,High,"  2,821.00 ",  3.00 ,  125.00 ,"  352,625.00 ",49367.5,"  303,257.50 ",  303.26 ,"  338,520.00 ","  -35,262.50 ",  -35.26 ,7/8/2022,Jul,Q3,2021,Charlotte Garcia,Carretera,France
Government,CUST_ID_049,PROD_ID_001,High,"  1,727.00 ",  5.00 ,  7.00 ,"  12,089.00 ",1692.46,"  10,396.54 ",  10.40 ,"  8,635.00 ","  1,761.54 ",  1.76 ,11/16/2021,Nov,Q4,2021,Elijah Perez,Montana,USA
Midmarket,CUST_ID_006,PROD_ID_002,High,"  2,470.00 ",  10.00 ,  15.00 ,"  37,050.00 ",5187,"  31,863.00 ",  31.86 ,"  24,700.00 ","  7,163.00 ",  7.16 ,4/1/2021,Apr,Q2,2021,Ava Davis,Paseo,Italy
Midmarket,CUST_ID_006,PROD_ID_002,High,"  1,743.00 ",  10.00 ,  15.00 ,"  26,145.00 ",3660.3,"  22,484.70 ",  22.48 ,"  17,430.00 ","  5,054.70 ",  5.05 ,4/22/2022,Apr,Q2,2021,Ava Davis,Paseo,Italy
Channel Partners,CUST_ID_060,PROD_ID_002,High,"  2,222.00 ",  10.00 ,  12.00 ,"  26,664.00 ",3732.96,"  22,931.04 ",  22.93 ,"  6,666.00 ","  16,265.04 ",  16.27 ,5/1/2021,May,Q2,2021,Emily Garcia,Paseo,France
Government,CUST_ID_052,PROD_ID_002,High,"  1,922.00 ",  10.00 ,  350.00 ,"  672,700.00 ",94178,"  578,522.00 ",  578.52 ,"  499,720.00 ","  78,802.00 ",  78.80 ,6/19/2022,Jun,Q2,2021,Charlotte Martin,Paseo,France
Small Business,CUST_ID_101,PROD_ID_003,High,  269.00 ,  120.00 ,  300.00 ,"  80,700.00 ",11298,"  69,402.00 ",  69.40 ,"  67,250.00 ","  2,152.00 ",  2.15 ,1/8/2022,Jan,Q1,2021,Samuel Hill,Velo,Germany
Small Business,CUST_ID_102,PROD_ID_003,High,"  2,536.00 ",  120.00 ,  300.00 ,"  760,800.00 ",106512,"  654,288.00 ",  654.29 ,"  634,000.00 ","  20,288.00 ",  20.29 ,9/3/2022,Sep,Q3,2021,Harper Phillips,Velo,Italy
Small Business,CUST_ID_063,PROD_ID_004,High,  269.00 ,  250.00 ,  300.00 ,"  80,700.00 ",11298,"  69,402.00 ",  69.40 ,"  67,250.00 ","  2,152.00 ",  2.15 ,10/19/2022,Oct,Q4,2021,Logan Clark,VTT,India
Government,CUST_ID_008,PROD_ID_004,High,"  1,281.00 ",  250.00 ,  350.00 ,"  448,350.00 ",62769,"  385,581.00 ",  385.58 ,"  333,060.00 ","  52,521.00 ",  52.52 ,1/19/2022,Jan,Q1,2021,Isabella Wilson,VTT,Japan
Midmarket,CUST_ID_103,PROD_ID_006,High,"  1,743.00 ",  260.00 ,  15.00 ,"  26,145.00 ",3660.3,"  22,484.70 ",  22.48 ,"  17,430.00 ","  5,054.70 ",  5.05 ,10/7/2021,Oct,Q4,2021,Henry Martin,Amarilla,India
Government,CUST_ID_093,PROD_ID_006,High,"  1,727.00 ",  260.00 ,  7.00 ,"  12,089.00 ",1692.46,"  10,396.54 ",  10.40 ,"  8,635.00 ","  1,761.54 ",  1.76 ,11/30/2022,Nov,Q4,2021,Jackson Hill,Amarilla,Germany
Midmarket,CUST_ID_104,PROD_ID_006,High,"  1,870.00 ",  260.00 ,  15.00 ,"  28,050.00 ",3927,"  24,123.00 ",  24.12 ,"  18,700.00 ","  5,423.00 ",  5.42 ,11/21/2021,Nov,Q4,2021,Amelia Hill,Amarilla,Japan
Government,CUST_ID_027,PROD_ID_002,High,  267.00 ,  10.00 ,  20.00 ,"  5,340.00 ",801,"  4,539.00 ",  4.54 ,"  2,670.00 ","  1,869.00 ",  1.87 ,3/21/2021,Mar,Q1,2021,Michael Hill,Paseo,England
Government,CUST_ID_027,PROD_ID_002,High,"  2,007.00 ",  10.00 ,  350.00 ,"  702,450.00 ",105367.5,"  597,082.50 ",  597.08 ,"  521,820.00 ","  75,262.50 ",  75.26 ,9/2/2022,Sep,Q3,2021,Michael Hill,Paseo,England
Government,CUST_ID_040,PROD_ID_002,High,"  2,151.00 ",  10.00 ,  350.00 ,"  752,850.00 ",112927.5,"  639,922.50 ",  639.92 ,"  559,260.00 ","  80,662.50 ",  80.66 ,2/1/2021,Feb,Q1,2021,Abigail Lewis,Paseo,Japan
Small Business,CUST_ID_086,PROD_ID_003,High,"  2,574.00 ",  120.00 ,  300.00 ,"  772,200.00 ",115830,"  656,370.00 ",  656.37 ,"  643,500.00 ","  12,870.00 ",  12.87 ,6/13/2022,Jun,Q2,2021,Mia Hill,Velo,Italy
Enterprise,CUST_ID_015,PROD_ID_003,High,"  2,438.00 ",  120.00 ,  125.00 ,"  304,750.00 ",45712.5,"  259,037.50 ",  259.04 ,"  292,560.00 ","  -33,522.50 ",  -33.52 ,3/2/2021,Mar,Q1,2021,Samuel Taylor,Velo,India
Government,CUST_ID_033,PROD_ID_004,High,  267.00 ,  250.00 ,  20.00 ,"  5,340.00 ",801,"  4,539.00 ",  4.54 ,"  2,670.00 ","  1,869.00 ",  1.87 ,10/27/2021,Oct,Q4,2021,Logan Garcia,VTT,USA
Enterprise,CUST_ID_105,PROD_ID_004,High,"  2,954.00 ",  250.00 ,  125.00 ,"  369,250.00 ",55387.5,"  313,862.50 ",  313.86 ,"  354,480.00 ","  -40,617.50 ",  -40.62 ,2/22/2021,Feb,Q1,2021,Jackson Turner,VTT,USA
Government,CUST_ID_042,PROD_ID_005,None,"  1,618.50 ",  3.00 ,  20.00 ,"  32,370.00 ",0,"  32,370.00 ",  32.37 ,"  16,185.00 ","  16,185.00 ",  16.19 ,3/2/2021,Mar,Q1,2022,Emily Garcia,Carretera,Canada
Government,CUST_ID_048,PROD_ID_005,None,"  1,321.00 ",  3.00 ,  20.00 ,"  26,420.00 ",0,"  26,420.00 ",  26.42 ,"  13,210.00 ","  13,210.00 ",  13.21 ,3/8/2021,Mar,Q1,2022,Sofia Turner,Carretera,Japan
Midmarket,CUST_ID_106,PROD_ID_005,None,"  2,178.00 ",  3.00 ,  15.00 ,"  32,670.00 ",0,"  32,670.00 ",  32.67 ,"  21,780.00 ","  10,890.00 ",  10.89 ,11/8/2022,Nov,Q4,2022,Abigail Phillips,Carretera,Canada
Midmarket,CUST_ID_107,PROD_ID_005,None,  888.00 ,  3.00 ,  15.00 ,"  13,320.00 ",0,"  13,320.00 ",  13.32 ,"  8,880.00 ","  4,440.00 ",  4.44 ,5/18/2021,May,Q2,2022,Aiden Hill,Carretera,England
Midmarket,CUST_ID_108,PROD_ID_005,None,"  2,470.00 ",  3.00 ,  15.00 ,"  37,050.00 ",0,"  37,050.00 ",  37.05 ,"  24,700.00 ","  12,350.00 ",  12.35 ,9/16/2022,Sep,Q3,2022,Emily Martin,Carretera,France
Government,CUST_ID_048,PROD_ID_005,None,"  1,513.00 ",  3.00 ,  350.00 ,"  529,550.00 ",0,"  529,550.00 ",  529.55 ,"  393,380.00 ","  136,170.00 ",  136.17 ,1/11/2022,Jan,Q1,2022,Sofia Turner,Carretera,Japan
Midmarket,CUST_ID_109,PROD_ID_001,None,  921.00 ,  5.00 ,  15.00 ,"  13,815.00 ",0,"  13,815.00 ",  13.82 ,"  9,210.00 ","  4,605.00 ",  4.61 ,10/23/2022,Oct,Q4,2022,Benjamin Garcia,Montana,Germany
Channel Partners,CUST_ID_110,PROD_ID_001,None,"  2,518.00 ",  5.00 ,  12.00 ,"  30,216.00 ",0,"  30,216.00 ",  30.22 ,"  7,554.00 ","  22,662.00 ",  22.66 ,10/24/2021,Oct,Q4,2022,Mia Hill,Montana,Italy
Government,CUST_ID_059,PROD_ID_001,None,"  1,899.00 ",  5.00 ,  20.00 ,"  37,980.00 ",0,"  37,980.00 ",  37.98 ,"  18,990.00 ","  18,990.00 ",  18.99 ,1/2/2022,Jan,Q1,2022,Aiden Martin,Montana,England
Channel Partners,CUST_ID_111,PROD_ID_001,None,"  1,545.00 ",  5.00 ,  12.00 ,"  18,540.00 ",0,"  18,540.00 ",  18.54 ,"  4,635.00 ","  13,905.00 ",  13.91 ,3/14/2021,Mar,Q1,2022,Logan Phillips,Montana,India
Midmarket,CUST_ID_112,PROD_ID_001,None,"  2,470.00 ",  5.00 ,  15.00 ,"  37,050.00 ",0,"  37,050.00 ",  37.05 ,"  24,700.00 ","  12,350.00 ",  12.35 ,7/29/2021,Jul,Q3,2022,Charlotte Hill,Montana,Japan
Enterprise,CUST_ID_001,PROD_ID_001,None,"  2,665.50 ",  5.00 ,  125.00 ,"  333,187.50 ",0,"  333,187.50 ",  333.19 ,"  319,860.00 ","  13,327.50 ",  13.33 ,2/25/2022,Feb,Q1,2022,James Smith,Montana,USA
Small Business,CUST_ID_050,PROD_ID_001,None,  958.00 ,  5.00 ,  300.00 ,"  287,400.00 ",0,"  287,400.00 ",  287.40 ,"  239,500.00 ","  47,900.00 ",  47.90 ,2/13/2022,Feb,Q1,2022,Mia Hill,Montana,Canada
Government,CUST_ID_037,PROD_ID_001,None,"  2,146.00 ",  5.00 ,  7.00 ,"  15,022.00 ",0,"  15,022.00 ",  15.02 ,"  10,730.00 ","  4,292.00 ",  4.29 ,1/25/2022,Jan,Q1,2022,Henry Martinez,Montana,Germany
Midmarket,CUST_ID_113,PROD_ID_001,None,  615.00 ,  5.00 ,  15.00 ,"  9,225.00 ",0,"  9,225.00 ",  9.23 ,"  6,150.00 ","  3,075.00 ",  3.08 ,3/9/2021,Mar,Q1,2022,Samuel Turner,Montana,USA
Government,CUST_ID_004,PROD_ID_002,None,  292.00 ,  10.00 ,  20.00 ,"  5,840.00 ",0,"  5,840.00 ",  5.84 ,"  2,920.00 ","  2,920.00 ",  2.92 ,4/30/2021,Apr,Q2,2022,Olivia Brown,Paseo,France
Midmarket,CUST_ID_044,PROD_ID_002,None,  974.00 ,  10.00 ,  15.00 ,"  14,610.00 ",0,"  14,610.00 ",  14.61 ,"  9,740.00 ","  4,870.00 ",  4.87 ,4/4/2022,Apr,Q2,2022,Elizabeth Martin,Paseo,France
Channel Partners,CUST_ID_060,PROD_ID_002,None,"  2,518.00 ",  10.00 ,  12.00 ,"  30,216.00 ",0,"  30,216.00 ",  30.22 ,"  7,554.00 ","  22,662.00 ",  22.66 ,11/4/2022,Nov,Q4,2022,Emily Garcia,Paseo,France
Government,CUST_ID_072,PROD_ID_002,None,"  1,006.00 ",  10.00 ,  350.00 ,"  352,100.00 ",0,"  352,100.00 ",  352.10 ,"  261,560.00 ","  90,540.00 ",  90.54 ,7/20/2022,Jul,Q3,2022,Emily Hill,Paseo,Japan
Channel Partners,CUST_ID_014,PROD_ID_002,None,  367.00 ,  10.00 ,  12.00 ,"  4,404.00 ",0,"  4,404.00 ",  4.40 ,"  1,101.00 ","  3,303.00 ",  3.30 ,5/24/2021,May,Q2,2022,Charlotte White,Paseo,Italy
Government,CUST_ID_040,PROD_ID_002,None,  883.00 ,  10.00 ,  7.00 ,"  6,181.00 ",0,"  6,181.00 ",  6.18 ,"  4,415.00 ","  1,766.00 ",  1.77 ,8/29/2021,Aug,Q3,2022,Abigail Lewis,Paseo,Japan
Midmarket,CUST_ID_044,PROD_ID_002,None,"  2,472.00 ",  10.00 ,  15.00 ,"  37,080.00 ",0,"  37,080.00 ",  37.08 ,"  24,720.00 ","  12,360.00 ",  12.36 ,2/27/2021,Feb,Q1,2022,Elizabeth Martin,Paseo,France
Government,CUST_ID_027,PROD_ID_002,None,"  1,143.00 ",  10.00 ,  7.00 ,"  8,001.00 ",0,"  8,001.00 ",  8.00 ,"  5,715.00 ","  2,286.00 ",  2.29 ,11/10/2022,Nov,Q4,2022,Michael Hill,Paseo,England
